customer_id,age,income,region,employment_status,credit_score
B-00001,53,25659.55,East,Employed,608
B-00002,74,53948.13,West,Retired,693
B-00003,60,40611.62,East,Employed,694
B-00004,46,56096.8,West,Self-Employed,628
B-00005,67,80119.81,North,Retired,668
B-00006,39,51227.55,South,Retired,667
B-00007,68,44878.12,East,Employed,740
B-00008,53,66515.06,West,Employed,785
B-00009,42,59713.39,East,Unemployed,601
B-00010,66,73792.31,South,Employed,699
B-00011,38,55372.44,North,Employed,792
B-00012,67,60637.53,West,Employed,725
B-00013,29,52579.77,North,Employed,635
B-00014,48,71478.31,North,Employed,801
B-00015,19,69078.52,East,Employed,734
B-00016,40,48279.49,North,Employed,727
B-00017,50,59763.26,North,Employed,580
B-00018,36,34368.22,East,Self-Employed,672
B-00019,29,84063.13,South,Retired,702
B-00020,61,34337.15,North,Employed,555
B-00021,44,46925.69,East,Employed,587
B-00022,26,79805.06,South,Self-Employed,691
B-00023,73,69481.69,West,Employed,683
B-00024,38,66471.13,North,Employed,634
B-00025,70,72769.75,South,Employed,750
B-00026,32,62363.44,East,Self-Employed,709
B-00027,58,39156.67,East,Unemployed,684
B-00028,44,37892.77,South,Self-Employed,700
B-00029,67,67105.81,East,Employed,722
B-00030,42,64076.61,South,Employed,780
B-00031,41,59413.23,West,Self-Employed,586
B-00032,70,75709.94,South,Employed,619
B-00033,30,33219.73,South,Employed,654
B-00034,25,66535.9,West,Self-Employed,560
B-00035,74,40086.35,West,Employed,691
B-00036,37,43420.04,South,Employed,765
B-00037,32,64652.27,North,Self-Employed,580
B-00038,64,35920.44,East,Employed,668
B-00039,50,72982.53,West,Employed,626
B-00040,69,61421.4,South,Self-Employed,735
B-00041,52,31897.17,South,Employed,713
B-00042,49,35084.73,West,Self-Employed,672
B-00043,24,39892.62,East,Retired,802
B-00044,33,33095.59,North,Employed,657
B-00045,30,46154.94,West,Employed,680
B-00046,67,59273.95,West,Self-Employed,665
B-00047,44,62239.3,East,Self-Employed,701
B-00048,34,60921.35,South,Retired,683
B-00049,21,56879.33,North,Self-Employed,679
B-00050,65,32279.38,West,Retired,750
B-00051,65,62781.8,West,Employed,590
B-00052,26,53828.19,North,Retired,641
B-00053,58,56904.66,South,Employed,662
B-00054,69,63118.83,South,Employed,755
B-00055,42,73938.83,North,Employed,687
B-00056,63,57022.11,East,Self-Employed,772
B-00057,58,47336.73,South,Retired,609
B-00058,56,60293.59,East,Employed,658
B-00059,20,70435.29,North,Employed,635
B-00060,67,80789.96,South,Employed,753
B-00061,67,50630.88,East,Employed,672
B-00062,24,19263.94,North,Employed,755
B-00063,41,70859.09,South,Self-Employed,777
B-00064,39,31510.61,West,Employed,713
B-00065,74,55794.13,South,Self-Employed,616
